image,width,height,pixels,edge_pixels,edge_ratio,gpu_ms
synthetic_0185.pgm,256,256,65536,26109,0.398392,0.013600
synthetic_0186.pgm,256,256,65536,24765,0.377884,0.013696
synthetic_0187.pgm,256,256,65536,48773,0.744217,0.013728
synthetic_0188.pgm,256,256,65536,45783,0.698593,0.013856
synthetic_0189.pgm,256,256,65536,41888,0.639160,0.012800
synthetic_0190.pgm,256,256,65536,38623,0.589340,0.013920
synthetic_0191.pgm,256,256,65536,35721,0.545059,0.014400
synthetic_0192.pgm,256,256,65536,33127,0.505478,0.013920
synthetic_0193.pgm,256,256,65536,30956,0.472351,0.012608
synthetic_0194.pgm,256,256,65536,29086,0.443817,0.014304
synthetic_0195.pgm,256,256,65536,27466,0.419098,0.013792
synthetic_0196.pgm,256,256,65536,25907,0.395309,0.013504
synthetic_0197.pgm,256,256,65536,24597,0.375320,0.014112
synthetic_0198.pgm,256,256,65536,48505,0.740128,0.013472
synthetic_0199.pgm,256,256,65536,45452,0.693542,0.013120
synthetic_0200.pgm,256,256,65536,41875,0.638962,0.013760
synthetic_0201.pgm,256,256,65536,38631,0.589462,0.013792
synthetic_0202.pgm,256,256,65536,35832,0.546753,0.014336
synthetic_0203.pgm,256,256,65536,33491,0.511032,0.012256
synthetic_0204.pgm,256,256,65536,31364,0.478577,0.014336
synthetic_0205.pgm,256,256,65536,29485,0.449905,0.014336
synthetic_0206.pgm,256,256,65536,27697,0.422623,0.014336
synthetic_0207.pgm,256,256,65536,26211,0.399948,0.013152
synthetic_0208.pgm,256,256,65536,24930,0.380402,0.013024
synthetic_0209.pgm,256,256,65536,49087,0.749008,0.013920
synthetic_0210.pgm,256,256,65536,45909,0.700516,0.014496
synthetic_0211.pgm,256,256,65536,42104,0.642456,0.014272
synthetic_0212.pgm,256,256,65536,38565,0.588455,0.012960
synthetic_0213.pgm,256,256,65536,35841,0.546890,0.012928
synthetic_0214.pgm,256,256,65536,33428,0.510071,0.013088
synthetic_0215.pgm,256,256,65536,31375,0.478745,0.013024
synthetic_0216.pgm,256,256,65536,29271,0.446640,0.012896
synthetic_0217.pgm,256,256,65536,27671,0.422226,0.013888
synthetic_0218.pgm,256,256,65536,26140,0.398865,0.014144
synthetic_0219.pgm,256,256,65536,24740,0.377502,0.012672
synthetic_0220.pgm,256,256,65536,48208,0.735596,0.013568
synthetic_0221.pgm,256,256,65536,44948,0.685852,0.013152
synthetic_0222.pgm,256,256,65536,41230,0.629120,0.014176
synthetic_0223.pgm,256,256,65536,38166,0.582367,0.046528
synthetic_0224.pgm,256,256,65536,35547,0.542404,0.012544
synthetic_0225.pgm,256,256,65536,33259,0.507492,0.030880
synthetic_0226.pgm,256,256,65536,31054,0.473846,0.013120
synthetic_0227.pgm,256,256,65536,29058,0.443390,0.014336
synthetic_0228.pgm,256,256,65536,27128,0.413940,0.014336
synthetic_0229.pgm,256,256,65536,25624,0.390991,0.012576
synthetic_0230.pgm,256,256,65536,24546,0.374542,0.013856
synthetic_0231.pgm,256,256,65536,48437,0.739090,0.012832
synthetic_0232.pgm,256,256,65536,45267,0.690720,0.014336
synthetic_0233.pgm,256,256,65536,41634,0.635284,0.014016
synthetic_0234.pgm,256,256,65536,38429,0.586380,0.014144
synthetic_0235.pgm,256,256,65536,35551,0.542465,0.014176
synthetic_0236.pgm,256,256,65536,33174,0.506195,0.012544
synthetic_0237.pgm,256,256,65536,31081,0.474258,0.012928
synthetic_0238.pgm,256,256,65536,29362,0.448029,0.012992
synthetic_0239.pgm,256,256,65536,27682,0.422394,0.012992
synthetic_0240.pgm,256,256,65536,26237,0.400345,0.013792
synthetic_0241.pgm,256,256,65536,24976,0.381104,0.014336
synthetic_0242.pgm,256,256,65536,49070,0.748749,0.013472
synthetic_0243.pgm,256,256,65536,45912,0.700562,0.014336
synthetic_0244.pgm,256,256,65536,42095,0.642319,0.014048
synthetic_0245.pgm,256,256,65536,38793,0.591934,0.012896
synthetic_0246.pgm,256,256,65536,35740,0.545349,0.013056
synthetic_0247.pgm,256,256,65536,33126,0.505463,0.014048
synthetic_0248.pgm,256,256,65536,31110,0.474701,0.014336
synthetic_0249.pgm,256,256,65536,29159,0.444931,0.013056
synthetic_0250.pgm,256,256,65536,27575,0.420761,0.014336
synthetic_0251.pgm,256,256,65536,26022,0.397064,0.013024
synthetic_0252.pgm,256,256,65536,24830,0.378876,0.013856
synthetic_0253.pgm,256,256,65536,48786,0.744415,0.013440
synthetic_0254.pgm,256,256,65536,45587,0.695602,0.014336
synthetic_0255.pgm,256,256,65536,41589,0.634598,0.014304
